id_execucao,usuario,consulta,tipo_api,tempo_resposta_ms,tamanho_resposta_kb,status_code,timestamp,observacoes
1,bradfitz,C1,GraphQL,1486.75,7.77,200,2025-11-27T23:27:16.953494,OK
2,bradfitz,C1,GraphQL,1330.87,7.77,200,2025-11-27T23:27:19.622848,OK
3,bradfitz,C3,GraphQL,498.08,0.2,200,2025-11-27T23:27:22.899034,OK
4,bradfitz,C3,GraphQL,357.23,0.2,200,2025-11-27T23:27:24.625134,OK
5,bradfitz,C1,GraphQL,488.83,0.11,401,2025-11-27T23:27:27.804929,Erro 401
6,bradfitz,C2,GraphQL,718.75,0.2,200,2025-11-27T23:27:29.886205,OK
7,bradfitz,C2,GraphQL,224.97,0.11,401,2025-11-27T23:27:31.361588,Erro 401
8,bradfitz,C1,GraphQL,1570.45,7.77,200,2025-11-27T23:27:34.255054,OK
9,bradfitz,C1,GraphQL,1466.12,7.77,200,2025-11-27T23:27:37.432131,OK
10,bradfitz,C3,GraphQL,408.84,0.2,200,2025-11-27T23:27:39.718412,OK
11,bradfitz,C1,GraphQL,1750.25,7.77,200,2025-11-27T23:27:43.287475,OK
12,bradfitz,C3,GraphQL,656.47,0.2,200,2025-11-27T23:27:45.751010,OK
13,bradfitz,C2,GraphQL,466.16,0.2,200,2025-11-27T23:27:48.507995,OK
14,bradfitz,C3,GraphQL,846.78,0.2,200,2025-11-27T23:27:50.886322,OK
15,bradfitz,C3,GraphQL,383.64,0.2,200,2025-11-27T23:27:52.976620,OK
16,bradfitz,C1,GraphQL,1329.28,7.77,200,2025-11-27T23:27:56.504216,OK
17,bradfitz,C1,GraphQL,351.95,0.11,401,2025-11-27T23:27:58.513617,Erro 401
18,bradfitz,C3,GraphQL,382.33,0.2,200,2025-11-27T23:28:00.522867,OK
19,bradfitz,C3,GraphQL,321.25,0.11,401,2025-11-27T23:28:03.401274,Erro 401
20,bradfitz,C2,GraphQL,454.58,0.2,200,2025-11-27T23:28:06.486736,OK
