id_execucao,usuario,consulta,tipo_api,tempo_resposta_ms,tamanho_resposta_kb,status_code,timestamp,observacoes
1,bradfitz,C1,REST,386.06,49.54,200,2025-11-25T23:07:12.496117,OK
2,bradfitz,C1,REST,459.36,49.54,200,2025-11-25T23:07:14.711875,OK
3,bradfitz,C1,REST,592.99,49.54,200,2025-11-25T23:07:16.816349,OK
4,bradfitz,C2,REST,511.92,5.08,200,2025-11-25T23:07:19.287899,OK
5,bradfitz,C3,REST,525.99,0.11,401,2025-11-25T23:07:22.241608,Erro 401
6,bradfitz,C2,REST,419.8,5.08,200,2025-11-25T23:07:23.849923,OK
7,bradfitz,C3,REST,437.28,0.11,401,2025-11-25T23:07:25.306131,Erro 401
8,bradfitz,C2,REST,368.41,5.08,200,2025-11-25T23:07:28.387730,OK
9,bradfitz,C3,REST,441.37,9.08,200,2025-11-25T23:07:31.073876,OK
10,bradfitz,C3,REST,516.8,9.08,200,2025-11-25T23:07:33.437957,OK
11,bradfitz,C2,REST,398.1,5.08,200,2025-11-25T23:07:35.199978,OK
12,bradfitz,C2,REST,572.37,5.08,200,2025-11-25T23:07:36.878813,OK
13,bradfitz,C1,REST,481.93,49.54,200,2025-11-25T23:07:38.496119,OK
14,bradfitz,C2,REST,545.54,5.08,200,2025-11-25T23:07:40.266330,OK
15,bradfitz,C3,REST,429.79,9.08,200,2025-11-25T23:07:42.341378,OK
16,bradfitz,C2,REST,599.8,5.08,200,2025-11-25T23:07:45.703864,OK
17,bradfitz,C1,REST,279.37,0.11,401,2025-11-25T23:07:47.564387,Erro 401
18,bradfitz,C2,REST,710.91,5.08,200,2025-11-25T23:07:50.995657,OK
19,bradfitz,C3,REST,341.98,0.11,401,2025-11-25T23:07:54.301306,Erro 401
20,bradfitz,C3,REST,576.75,9.08,200,2025-11-25T23:07:56.580129,OK
21,bradfitz,C2,REST,605.79,5.08,200,2025-11-25T23:07:59.864854,OK
22,bradfitz,C1,REST,507.35,49.54,200,2025-11-25T23:08:01.694446,OK
23,bradfitz,C2,REST,398.85,5.08,200,2025-11-25T23:08:03.742195,OK
24,bradfitz,C1,REST,784.13,49.54,200,2025-11-25T23:08:06.163294,OK
25,bradfitz,C3,REST,700.12,9.08,200,2025-11-25T23:08:08.763025,OK
26,bradfitz,C3,REST,690.81,9.08,200,2025-11-25T23:08:11.112119,OK
27,bradfitz,C3,REST,551.36,9.08,200,2025-11-25T23:08:14.656987,OK
28,bradfitz,C2,REST,452.07,5.08,200,2025-11-25T23:08:16.920243,OK
29,bradfitz,C1,REST,255.23,0.11,401,2025-11-25T23:08:18.647148,Erro 401
30,bradfitz,C2,REST,464.41,5.08,200,2025-11-25T23:08:20.438151,OK
31,bradfitz,C3,REST,315.75,0.11,401,2025-11-25T23:08:22.655242,Erro 401
32,bradfitz,C1,REST,595.39,49.54,200,2025-11-25T23:08:24.908314,OK
33,bradfitz,C1,REST,420.77,49.54,200,2025-11-25T23:08:26.393148,OK
34,bradfitz,C3,REST,405.66,9.08,200,2025-11-25T23:08:29.137645,OK
35,bradfitz,C1,REST,642.79,49.54,200,2025-11-25T23:08:31.021187,OK
36,bradfitz,C2,REST,611.53,5.08,200,2025-11-25T23:08:34.112998,OK
37,bradfitz,C2,REST,433.99,5.08,200,2025-11-25T23:08:36.701103,OK
38,bradfitz,C3,REST,691.54,9.08,200,2025-11-25T23:08:39.709200,OK
39,bradfitz,C1,REST,512.46,49.54,200,2025-11-25T23:08:42.878201,OK
40,bradfitz,C1,REST,494.5,49.54,200,2025-11-25T23:08:46.156489,OK
41,bradfitz,C3,REST,505.98,0.11,401,2025-11-25T23:08:48.389969,Erro 401
