id_execucao,usuario,consulta,tipo_api,tempo_resposta_ms,tamanho_resposta_kb,status_code,timestamp,observacoes
1,bradfitz,C1,GraphQL,673.35,0.89,200,2025-11-25T23:07:14.783092,OK
2,bradfitz,C2,GraphQL,458.17,0.2,200,2025-11-25T23:07:16.292422,OK
3,bradfitz,C1,GraphQL,693.73,0.89,200,2025-11-25T23:07:18.384832,OK
4,bradfitz,C1,GraphQL,866.05,0.89,200,2025-11-25T23:07:22.120953,OK
5,bradfitz,C3,GraphQL,424.48,0.11,401,2025-11-25T23:07:25.078631,Erro 401
6,bradfitz,C3,GraphQL,362.03,0.2,200,2025-11-25T23:07:28.059060,OK
7,bradfitz,C1,GraphQL,254.98,0.11,401,2025-11-25T23:07:29.516283,Erro 401
8,bradfitz,C2,GraphQL,309.56,0.2,200,2025-11-25T23:07:31.819424,OK
9,bradfitz,C3,GraphQL,512.66,0.2,200,2025-11-25T23:07:34.404677,OK
10,bradfitz,C2,GraphQL,367.0,0.2,200,2025-11-25T23:07:37.306648,OK
11,bradfitz,C3,GraphQL,629.34,0.2,200,2025-11-25T23:07:40.166080,OK
12,bradfitz,C2,GraphQL,479.56,0.2,200,2025-11-25T23:07:43.428237,OK
13,bradfitz,C1,GraphQL,852.45,0.89,200,2025-11-25T23:07:47.214958,OK
14,bradfitz,C3,GraphQL,424.16,0.2,200,2025-11-25T23:07:50.065897,OK
15,bradfitz,C2,GraphQL,317.98,0.2,200,2025-11-25T23:07:52.827608,OK
16,bradfitz,C3,GraphQL,353.32,0.2,200,2025-11-25T23:07:54.204745,OK
17,bradfitz,C3,GraphQL,561.55,0.11,401,2025-11-25T23:07:56.244149,Erro 401
18,bradfitz,C3,GraphQL,537.34,0.2,200,2025-11-25T23:07:58.397224,OK
19,bradfitz,C1,GraphQL,500.32,0.11,401,2025-11-25T23:08:00.808638,Erro 401
20,bradfitz,C1,GraphQL,679.68,0.89,200,2025-11-25T23:08:03.577376,OK
21,bradfitz,C2,GraphQL,570.87,0.2,200,2025-11-25T23:08:06.238969,OK
22,bradfitz,C1,GraphQL,662.87,0.89,200,2025-11-25T23:08:08.529923,OK
23,bradfitz,C2,GraphQL,600.84,0.2,200,2025-11-25T23:08:10.991235,OK
24,bradfitz,C1,GraphQL,690.38,0.89,200,2025-11-25T23:08:14.291746,OK
25,bradfitz,C1,GraphQL,726.12,0.89,200,2025-11-25T23:08:17.176554,OK
26,bradfitz,C1,GraphQL,615.14,0.89,200,2025-11-25T23:08:20.016374,OK
27,bradfitz,C2,GraphQL,355.45,0.2,200,2025-11-25T23:08:22.309655,OK
28,bradfitz,C1,GraphQL,584.9,0.89,200,2025-11-25T23:08:24.383317,OK
29,bradfitz,C3,GraphQL,367.26,0.11,401,2025-11-25T23:08:26.594874,Erro 401
30,bradfitz,C2,GraphQL,512.66,0.2,200,2025-11-25T23:08:28.114652,OK
31,bradfitz,C3,GraphQL,466.81,0.11,401,2025-11-25T23:08:31.101602,Erro 401
32,bradfitz,C1,GraphQL,1018.5,0.89,200,2025-11-25T23:08:34.434418,OK
33,bradfitz,C3,GraphQL,411.02,0.2,200,2025-11-25T23:08:37.113224,OK
34,bradfitz,C2,GraphQL,595.63,0.2,200,2025-11-25T23:08:39.710125,OK
35,bradfitz,C2,GraphQL,496.63,0.2,200,2025-11-25T23:08:43.140279,OK
36,bradfitz,C2,GraphQL,422.52,0.2,200,2025-11-25T23:08:45.904709,OK
37,bradfitz,C3,GraphQL,398.81,0.2,200,2025-11-25T23:08:47.818557,OK
38,bradfitz,C1,GraphQL,1017.85,0.89,200,2025-11-25T23:08:50.646049,OK
39,bradfitz,C1,GraphQL,662.22,0.89,200,2025-11-25T23:08:53.919088,OK
40,bradfitz,C2,GraphQL,566.0,0.2,200,2025-11-25T23:08:56.200166,OK
41,bradfitz,C1,GraphQL,391.16,0.11,401,2025-11-25T23:08:58.857903,Erro 401
42,bradfitz,C1,GraphQL,623.91,0.89,200,2025-11-25T23:09:00.598770,OK
43,bradfitz,C2,GraphQL,309.77,0.11,401,2025-11-25T23:09:02.027090,Erro 401
44,bradfitz,C1,GraphQL,872.95,0.89,200,2025-11-25T23:09:05.619797,OK
45,bradfitz,C3,GraphQL,315.38,0.2,200,2025-11-25T23:09:07.288265,OK
46,bradfitz,C3,GraphQL,422.98,0.2,200,2025-11-25T23:09:10.215029,OK
47,bradfitz,C2,GraphQL,664.29,0.2,200,2025-11-25T23:09:12.318863,OK
48,bradfitz,C1,GraphQL,603.15,0.89,200,2025-11-25T23:09:14.833643,OK
49,bradfitz,C3,GraphQL,427.7,0.2,200,2025-11-25T23:09:17.744836,OK
50,bradfitz,C1,GraphQL,919.54,0.89,200,2025-11-25T23:09:20.807447,OK
51,bradfitz,C2,GraphQL,328.58,0.2,200,2025-11-25T23:09:23.453639,OK
52,bradfitz,C3,GraphQL,381.84,0.2,200,2025-11-25T23:09:25.104567,OK
53,bradfitz,C3,GraphQL,270.31,0.11,401,2025-11-25T23:09:26.970129,Erro 401
54,bradfitz,C2,GraphQL,345.01,0.2,200,2025-11-25T23:09:30.173609,OK
55,bradfitz,C3,GraphQL,630.32,0.11,401,2025-11-25T23:09:32.136025,Erro 401
56,bradfitz,C3,GraphQL,631.63,0.2,200,2025-11-25T23:09:34.660591,OK
57,bradfitz,C2,GraphQL,372.24,0.2,200,2025-11-25T23:09:36.436837,OK
58,bradfitz,C1,GraphQL,846.4,0.89,200,2025-11-25T23:09:39.388789,OK
59,bradfitz,C2,GraphQL,425.58,0.2,200,2025-11-25T23:09:42.584173,OK
60,bradfitz,C1,GraphQL,1123.1,0.89,200,2025-11-25T23:09:44.809653,OK
61,bradfitz,C1,GraphQL,1309.84,0.89,200,2025-11-25T23:09:47.856126,OK
62,bradfitz,C3,GraphQL,346.86,0.2,200,2025-11-25T23:09:49.763480,OK
63,bradfitz,C1,GraphQL,712.57,0.89,200,2025-11-25T23:09:51.576876,OK
64,bradfitz,C3,GraphQL,315.55,0.2,200,2025-11-25T23:09:54.309239,OK
65,bradfitz,C3,GraphQL,269.42,0.11,401,2025-11-25T23:09:56.182736,Erro 401
66,bradfitz,C3,GraphQL,531.32,0.2,200,2025-11-25T23:09:57.804814,OK
67,bradfitz,C3,GraphQL,625.37,0.11,401,2025-11-25T23:09:59.931496,Erro 401
68,bradfitz,C1,GraphQL,660.25,0.89,200,2025-11-25T23:10:03.269128,OK
69,bradfitz,C2,GraphQL,627.07,0.2,200,2025-11-25T23:10:05.058413,OK
70,bradfitz,C2,GraphQL,347.12,0.2,200,2025-11-25T23:10:06.822895,OK
71,bradfitz,C2,GraphQL,959.55,0.2,200,2025-11-25T23:10:10.668597,OK
72,bradfitz,C2,GraphQL,413.59,0.2,200,2025-11-25T23:10:13.668379,OK
73,bradfitz,C2,GraphQL,746.42,0.2,200,2025-11-25T23:10:15.879574,OK
74,bradfitz,C3,GraphQL,770.46,0.2,200,2025-11-25T23:10:18.703967,OK
75,bradfitz,C1,GraphQL,757.33,0.89,200,2025-11-25T23:10:21.256758,OK
76,bradfitz,C1,GraphQL,710.96,0.89,200,2025-11-25T23:10:23.901201,OK
77,bradfitz,C2,GraphQL,258.21,0.11,401,2025-11-25T23:10:27.095664,Erro 401
78,bradfitz,C1,GraphQL,633.36,0.89,200,2025-11-25T23:10:29.843653,OK
79,bradfitz,C1,GraphQL,858.83,0.11,401,2025-11-25T23:10:32.165570,Erro 401
80,bradfitz,C2,GraphQL,462.65,0.2,200,2025-11-25T23:10:34.338213,OK
81,bradfitz,C3,GraphQL,353.28,0.2,200,2025-11-25T23:10:36.165186,OK
82,bradfitz,C1,GraphQL,868.87,0.89,200,2025-11-25T23:10:38.268138,OK
83,bradfitz,C3,GraphQL,540.11,0.2,200,2025-11-25T23:10:40.596281,OK
84,bradfitz,C3,GraphQL,511.96,0.2,200,2025-11-25T23:10:42.635432,OK
85,bradfitz,C3,GraphQL,328.85,0.2,200,2025-11-25T23:10:44.001132,OK
86,bradfitz,C3,GraphQL,360.69,0.2,200,2025-11-25T23:10:46.627527,OK
87,bradfitz,C2,GraphQL,318.32,0.2,200,2025-11-25T23:10:48.055798,OK
88,bradfitz,C3,GraphQL,414.91,0.2,200,2025-11-25T23:10:51.333806,OK
89,bradfitz,C2,GraphQL,380.65,0.11,401,2025-11-25T23:10:53.799282,Erro 401
90,bradfitz,C1,GraphQL,997.9,0.89,200,2025-11-25T23:10:57.415573,OK
91,bradfitz,C2,GraphQL,261.05,0.11,401,2025-11-25T23:11:00.450634,Erro 401
92,bradfitz,C2,GraphQL,316.61,0.2,200,2025-11-25T23:11:03.310129,OK
93,bradfitz,C3,GraphQL,932.11,0.2,200,2025-11-25T23:11:05.737052,OK
94,bradfitz,C2,GraphQL,361.91,0.2,200,2025-11-25T23:11:07.206598,OK
95,bradfitz,C2,GraphQL,302.41,0.2,200,2025-11-25T23:11:10.438164,OK
96,bradfitz,C3,GraphQL,314.05,0.2,200,2025-11-25T23:11:11.893421,OK
97,bradfitz,C1,GraphQL,649.52,0.89,200,2025-11-25T23:11:14.378693,OK
98,bradfitz,C1,GraphQL,714.87,0.89,200,2025-11-25T23:11:16.700517,OK
99,bradfitz,C2,GraphQL,397.93,0.2,200,2025-11-25T23:11:20.030144,OK
100,dgtlmoon,C1,GraphQL,549.46,0.11,401,2025-11-25T23:11:24.137985,Erro 401
101,dgtlmoon,C2,GraphQL,534.31,0.4,200,2025-11-25T23:11:26.688243,OK
102,dgtlmoon,C1,GraphQL,346.04,0.11,401,2025-11-25T23:11:28.184609,Erro 401
103,dgtlmoon,C3,GraphQL,813.31,1.71,200,2025-11-25T23:11:30.031021,OK
104,dgtlmoon,C3,GraphQL,673.62,1.71,200,2025-11-25T23:11:33.306886,OK
105,dgtlmoon,C1,GraphQL,927.7,1.12,200,2025-11-25T23:11:36.951424,OK
106,dgtlmoon,C3,GraphQL,389.49,1.71,200,2025-11-25T23:11:38.638007,OK
107,dgtlmoon,C1,GraphQL,566.72,1.12,200,2025-11-25T23:11:40.669558,OK
108,dgtlmoon,C3,GraphQL,2852.82,1.71,200,2025-11-25T23:11:45.564513,OK
109,dgtlmoon,C1,GraphQL,690.78,1.12,200,2025-11-25T23:11:49.195932,OK
110,dgtlmoon,C1,GraphQL,703.6,1.12,200,2025-11-25T23:11:52.327249,OK
111,dgtlmoon,C3,GraphQL,479.18,1.71,200,2025-11-25T23:11:54.888063,OK
112,dgtlmoon,C2,GraphQL,546.84,0.11,401,2025-11-25T23:11:57.615085,Erro 401
113,dgtlmoon,C3,GraphQL,572.88,1.71,200,2025-11-25T23:12:00.365816,OK
114,dgtlmoon,C3,GraphQL,351.38,0.11,401,2025-11-25T23:12:01.921558,Erro 401
115,dgtlmoon,C3,GraphQL,526.35,1.71,200,2025-11-25T23:12:04.970393,OK
116,dgtlmoon,C3,GraphQL,475.82,1.71,200,2025-11-25T23:12:06.620584,OK
117,dgtlmoon,C3,GraphQL,1088.41,1.71,200,2025-11-25T23:12:08.922018,OK
